data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,full_context,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,24,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.66254472732544
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,25,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.682462215423584
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,26,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.680444955825806
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,27,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.624537706375122
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,28,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.679288625717163
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,29,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.65566086769104
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,30,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.68753957748413
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,31,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.618302583694458
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,32,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.647205352783203
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,33,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.654099464416504
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,34,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.6986026763916
data/seame,RNN_RELU,500,64,2,0.1,5,40,0.2,2,True,5,results/rnns/0-2.pt,results/rnns/summary.txt,0,2,False,True,35,nan,nan,0.6713240651471551,0.6713240651471551,1.0,0.8033439823509597,30.628106117248535
